year,month,unemployed,unemployment_rate,manufacturing_job,accomodation_jobs,foodservice_job,building_permit,total_visitor_days,domestic_visitor_days,international_visitor_days
2018, Dec ,"15,900",2.3,14400,44300,70600,287087,8318301,6134074,2184227
2019, Jan. ,"20,550",3,14200,42600,69900,387916,8076194,5608716,2467478
2019, Feb ,"17,800",2.6,14200,42700,69900,160948,6843755,4778006,2065749
2019, Mar ,"18,100",2.6,14200,42600,70600,212161,7716825,5639153,2077672
2019, Apr ,"16,450",2.4,14100,42300,70300,231685,6885015,4960376,1924639
2019, May ,"16,250",2.4,14100,42400,70200,337386,7035854,5494077,1541778
2019, Jun ,"21,300",3.1,14100,42500,70500,239887,8334138,6666332,1667807
2019, Jul ,"17,800",2.6,14000,42800,70800,250844,8878983,6877423,2001559
2019, Aug ,"16,450",2.4,14100,42800,71100,268639,7840392,5765397,2074995
2019, Sep ,"15,750",2.3,14000,42800,70600,279284,6089616,4353655,1735961
2019, Oct ,"15,000",2.2,13900,43000,69700,377078,6577024,4931639,1645385
2019, Nov ,"14,250",2.1,13900,43000,70100,231520,6635121,4832847,1802274
2019, Dec ,"11,600",1.7,14100,43700,70600,244098,8779507,6627462,2152044
2020, Jan ,"15,850",2.3,13800,43700,69800,181050,8272732,5955461,2317271
2020, Feb ,"13,600",2,13700,43500,69900,227819,7121132,5294514,1826618
2020, Mar ,"13,750",2,13800,43300,68800,375924,3907993,3117379,790614
2020, Apr ,"140,550",21.9,10600,21500,32200,167684,131623,124681,6943
2020, May ,"133,650",20.7,11300,13000,34600,207390,283207,280436,2771
2020, Jun ,"116,600",17.7,11500,12700,41500,318055,473130,466756,6373
2020, Jul ,"107,150",16,11500,10900,42700,270084,567595,544765,22830
2020, Aug ,"94,050",14,11600,10700,42600,391845,701388,689658,11730
2020, Sep ,"97,300",15.6,11200,9700,37300,181293,614172,605128,9044
2020, Oct ,"81,000",12.5,11500,14100,41500,214249,1222402,1208179,14223
2020, Nov ,"73,750",11.2,11700,18400,45000,275468,2286098,2267152,18946
2020, Dec ,"66,850",10,11800,20600,47600,297629,2935326,2841108,94218
2021, Jan ,"52,050",7.9,11500,19400,48600,229403,2506145,2394224,111921
2021, Feb ,"43,000",6.5,11600,19900,49900,314042,2539868,2506545,33322
2021, Mar ,"38,750",5.9,11700,22000,51600,259222,4259791,4225955,33835
2021, Apr ,"38,300",5.8,11700,25100,54700,412865,4544287,4506210,38077
2021, May ,"36,950",5.6,11800,27500,56000,651271,5906488,5856723,49765
2021, Jun ,"43,350",6.5,12000,30500,58500,281705,7679183,7617527,61656
2021, Jul ,"38,050",5.6,12400,32700,60000,310160,8221214,8132970,88244
2021, Aug ,"37,400",5.6,12400,33400,60200,272592,6553003,6426044,126958
2021, Sep ,"35,500",5.3,12300,32500,58800,354693,4622029,4539018,83011
2021, Oct ,"34,400",5.1,12400,31800,57700,200975,5099902,4920574,179329
2021, Nov ,"31,550",4.7,12400,32700,58500,258016,5734772,5379554,355218
2021, Dec ,"29,500",4.4,12400,35100,60100,202162,7645593,6968537,677055
2022, Jan ,"26,850",4,12100,34400,59600,261148,6234373,5696512,537861
2022, Feb ,"25,500",3.8,12200,34900,61200,226464,5879105,5358867,520238
2022, Mar ,"22,950",3.4,12300,35800,61800,380516,7017618,6207753,809865
2022, Apr 3/ ,"23,750",3.5,12400,36800,62800,183068,7061930,6332771,729159
2022, May ,"23,900",3.6,12300,37400,63400,239753,6873550,6361577,511973
2022, June ,"27,750",4.1,12400,37700,64200,212008,7948270,7409796,538474
2022, July ,"25,200",3.7,12400,38100,66000,265246,8600774,7715972,884802
2022, August ,"24,250",3.6,12500,38500,66200,279193,7523465,6571727,951738
2022, September ,"23,050",3.4,12500,38500,66900,238468,6199291,5525363,673927
